epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,240.151,0.5,0.6338,0.33212,0.88107,0.99261,0.99318,0.99489,0.93699,0.82427,0.82714,0.7312,0.24554,0.38849,0.44061,0.26183,0.76569,0.0008516,0.0008516,0.0008516
31,248.782,0.49262,0.61446,0.32988,0.87849,0.9899,0.99166,0.99484,0.93902,0.82893,0.83394,0.74078,0.2462,0.38222,0.43762,0.25564,0.76508,0.000812,0.000812,0.000812
32,256.882,0.4863,0.62876,0.32377,0.87615,0.98796,0.99575,0.99482,0.93175,0.79164,0.79788,0.67799,0.21461,0.38355,0.43625,0.25324,0.76401,0.0007724,0.0007724,0.0007724
33,264.599,0.48893,0.61722,0.32075,0.87736,0.99095,0.9963,0.99489,0.94098,0.7599,0.76725,0.64746,0.20845,0.37894,0.4394,0.24666,0.76166,0.0007328,0.0007328,0.0007328
34,272.641,0.48183,0.61401,0.31812,0.87579,0.98638,0.98851,0.99476,0.941,0.81276,0.82276,0.72577,0.23888,0.37532,0.43194,0.25016,0.76337,0.0006932,0.0006932,0.0006932
35,279.978,0.48458,0.62659,0.31618,0.8756,0.99318,0.99367,0.99488,0.94054,0.80969,0.81608,0.71685,0.2285,0.38072,0.43758,0.2492,0.76415,0.0006536,0.0006536,0.0006536
36,287.971,0.48405,0.62217,0.31914,0.8767,0.9939,0.98817,0.99488,0.94067,0.81816,0.82942,0.73438,0.24942,0.37517,0.43257,0.24725,0.76287,0.000614,0.000614,0.000614
37,296.715,0.47138,0.60535,0.31124,0.87316,0.9909,0.9909,0.99488,0.94475,0.83067,0.82411,0.7373,0.25185,0.36894,0.42216,0.2415,0.76296,0.0005744,0.0005744,0.0005744
38,303.549,0.47551,0.60982,0.31089,0.87354,0.99019,0.99472,0.9949,0.94012,0.82562,0.82917,0.73557,0.25779,0.37997,0.43502,0.25012,0.76275,0.0005348,0.0005348,0.0005348
39,311.037,0.47708,0.61178,0.31373,0.87331,0.99318,0.99375,0.99488,0.9487,0.83399,0.83409,0.75808,0.26192,0.36855,0.42649,0.24226,0.76282,0.0004952,0.0004952,0.0004952
40,319.456,0.4702,0.61217,0.30418,0.86842,0.9948,0.9856,0.99485,0.94508,0.82406,0.81425,0.73034,0.2417,0.36719,0.42508,0.23936,0.7603,0.0004556,0.0004556,0.0004556
41,331.133,0.38594,0.46415,0.27219,0.83187,0.99414,0.99166,0.99492,0.93489,0.81366,0.81122,0.69442,0.21945,0.3722,0.43336,0.24964,0.75771,0.000416,0.000416,0.000416
42,338.033,0.38735,0.46304,0.26639,0.83058,0.99173,0.99242,0.99488,0.94069,0.83684,0.82714,0.73917,0.24711,0.36779,0.43024,0.24289,0.76004,0.0003764,0.0003764,0.0003764
43,345.906,0.3768,0.43943,0.25872,0.82783,0.98942,0.99545,0.99489,0.94166,0.80823,0.81274,0.70895,0.24118,0.37192,0.42074,0.2415,0.76609,0.0003368,0.0003368,0.0003368
44,352.839,0.38195,0.45304,0.25735,0.8304,0.99394,0.99456,0.9949,0.94473,0.81095,0.81305,0.71079,0.24302,0.36189,0.44204,0.23753,0.75886,0.0002972,0.0002972,0.0002972
45,360.595,0.37106,0.45639,0.25057,0.8295,0.99016,0.99166,0.99488,0.94351,0.82767,0.82657,0.73695,0.25545,0.36274,0.42525,0.23643,0.76082,0.0002576,0.0002576,0.0002576
46,368.218,0.36816,0.44984,0.24636,0.82602,0.99018,0.99337,0.99486,0.94674,0.85143,0.84306,0.77122,0.26567,0.35921,0.41621,0.22933,0.75787,0.000218,0.000218,0.000218
47,376.3,0.36039,0.44492,0.2402,0.82384,0.98945,0.99575,0.99485,0.94717,0.82644,0.83393,0.74368,0.25703,0.35834,0.41981,0.22804,0.75881,0.0001784,0.0001784,0.0001784
48,387.854,0.3656,0.45223,0.24146,0.82592,0.99223,0.99166,0.99489,0.94764,0.82242,0.82164,0.73575,0.25837,0.3547,0.42148,0.2226,0.75877,0.0001388,0.0001388,0.0001388
49,394.76,0.35673,0.43796,0.23221,0.81972,0.99405,0.99242,0.99489,0.95091,0.83843,0.83851,0.75716,0.26982,0.34846,0.40928,0.21851,0.75617,9.92e-05,9.92e-05,9.92e-05
50,401.156,0.35153,0.43291,0.22966,0.81932,0.99467,0.98973,0.99489,0.95219,0.83813,0.83397,0.75799,0.26632,0.34324,0.41453,0.21528,0.7562,5.96e-05,5.96e-05,5.96e-05
